,Time (EDT)EDT,LatitudeLat,LongitudeLon,CourseDir,kts,mph,feet,Rate,Reporting Facility
223,Wed 05:07:59 AM05:07AM,41.242041.24,31.115831.12,← 303°,457,526,3200032000.0,,FlightAware MLAT (5 sites)
224,Wed 05:08:29 AM05:08AM,41.276441.28,31.044131.04,← 303°,468,539,3200032000.0,,FlightAware MLAT (11 sites)
225,Wed 05:09:02 AM05:09AM,41.316041.32,30.961930.96,← 303°,470,541,3200032000.0,,FlightAware MLAT (8 sites)
226,Wed 05:09:33 AM05:09AM,41.351741.35,30.890330.89,← 303°,472,543,3200032000.0,,FlightAware MLAT (11 sites)
227,Wed 05:10:07 AM05:10AM,41.392541.39,30.809530.81,← 302°,470,541,3200032000.0,,FlightAware MLAT (4 sites)
228,Wed 05:10:38 AM05:10AM,41.427541.43,30.733330.73,← 302°,468,539,3200032000.0,,FlightAware MLAT (4 sites)
229,Wed 05:11:10 AM05:11AM,41.463741.46,30.652730.65,← 303°,489,563,,,FlightAware MLAT (7 sites)
230,Wed 05:11:40 AM05:11AM,41.498841.50,30.579330.58,← 303°,471,542,3200032000.0,,FlightAware MLAT (8 sites)
231,Wed 05:12:11 AM05:12AM,41.535041.53,30.504430.50,← 303°,470,541,3200032000.0,,FlightAware MLAT (8 sites)
232,Wed 05:12:42 AM05:12AM,41.570541.57,30.428330.43,← 302°,470,541,3200032000.0,,FlightAware MLAT (4 sites)
233,Wed 05:13:12 AM05:13AM,41.605241.61,30.355330.36,← 302°,470,541,3200032000.0,,FlightAware MLAT (4 sites)
234,Wed 05:13:47 AM05:13AM,41.645941.65,30.268530.27,← 302°,468,539,3200032000.0,,FlightAware MLAT (8 sites)
235,Wed 05:14:19 AM05:14AM,41.685441.69,30.192430.19,← 302°,470,541,3200032000.0,,FlightAware MLAT (5 sites)
236,Wed 05:14:51 AM05:14AM,41.720541.72,30.110130.11,← 302°,472,543,3200032000.0,,FlightAware MLAT (6 sites)
237,Wed 05:15:33 AM05:15AM,41.766641.77,30.009330.01,← 302°,474,545,3200032000.0,,FlightAware MLAT (5 sites)
238,Wed 05:16:03 AM05:16AM,41.802241.80,29.932129.93,← 302°,474,545,3200032000.0,,FlightAware MLAT (5 sites)
239,Wed 05:16:33 AM05:16AM,41.836641.84,29.859229.86,← 302°,474,545,3200032000.0,,FlightAware MLAT (6 sites)
240,Wed 05:17:04 AM05:17AM,41.873041.87,29.782529.78,← 302°,474,545,3200032000.0,,FlightAware MLAT (5 sites)
241,Wed 05:17:36 AM05:17AM,41.911341.91,29.701129.70,← 302°,472,543,3200032000.0,,FlightAware MLAT (6 sites)
242,Wed 05:18:08 AM05:18AM,41.946041.95,29.623829.62,← 302°,472,543,3200032000.0,,FlightAware MLAT (11 sites)
243,Wed 05:18:38 AM05:18AM,41.980241.98,29.549029.55,← 302°,472,543,3200032000.0,,FlightAware MLAT (8 sites)
244,Wed 05:19:09 AM05:19AM,42.015742.02,29.472629.47,← 302°,470,541,3200032000.0,,FlightAware MLAT (12 sites)
245,Wed 05:19:40 AM05:19AM,42.051342.05,29.397129.40,← 302°,472,543,3200032000.0,,FlightAware MLAT (13 sites)
246,Wed 05:20:11 AM05:20AM,42.086142.09,29.316429.32,← 302°,470,541,3200032000.0,,FlightAware MLAT (4 sites)
247,Wed 05:20:45 AM05:20AM,42.124942.12,29.233529.23,← 302°,468,539,3200032000.0,,FlightAware MLAT (4 sites)
248,Wed 05:21:16 AM05:21AM,42.160842.16,29.157729.16,← 309°,470,541,3200032000.0,,FlightAware MLAT (5 sites)
249,Wed 05:21:47 AM05:21AM,42.215142.22,29.098029.10,↖ 328°,480,552,3200032000.0,,FlightAware MLAT (8 sites)
250,Wed 05:22:19 AM05:22AM,42.276642.28,29.047429.05,↖ 328°,490,564,3200032000.0,,FlightAware MLAT (4 sites)
251,Wed 05:22:49 AM05:22AM,42.336242.34,29.000429.00,↖ 328°,490,564,3200032000.0,,FlightAware MLAT (6 sites)
252,Wed 05:23:21 AM05:23AM,42.396842.40,28.949328.95,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (10 sites)
253,Wed 05:23:51 AM05:23AM,42.454642.45,28.900428.90,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (8 sites)
254,Wed 05:24:22 AM05:24AM,42.514742.51,28.849128.85,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (10 sites)
255,Wed 05:24:53 AM05:24AM,42.574842.57,28.798928.80,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (13 sites)
256,Wed 05:25:27 AM05:25AM,42.640442.64,28.743328.74,↖ 328°,496,571,3200032000.0,,FlightAware MLAT (5 sites)
257,Wed 05:25:57 AM05:25AM,42.699942.70,28.693728.69,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (9 sites)
258,Wed 05:26:28 AM05:26AM,42.758742.76,28.644228.64,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (9 sites)
259,Wed 05:26:59 AM05:26AM,42.818542.82,28.593528.59,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (6 sites)
260,Wed 05:27:29 AM05:27AM,42.876842.88,28.545428.55,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (10 sites)
261,Wed 05:28:00 AM05:28AM,42.935242.94,28.495228.50,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (7 sites)
262,Wed 05:28:31 AM05:28AM,42.996143.00,28.445728.45,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (4 sites)
263,Wed 05:29:04 AM05:29AM,43.058943.06,28.389128.39,↖ 328°,494,568,3200032000.0,,FlightAware MLAT (4 sites)
264,Wed 05:29:35 AM05:29AM,43.118543.12,28.338228.34,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (5 sites)
265,Wed 05:30:05 AM05:30AM,43.176343.18,28.289928.29,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (7 sites)
266,Wed 05:30:36 AM05:30AM,43.236443.24,28.235528.24,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (7 sites)
267,Wed 05:31:06 AM05:31AM,43.294043.29,28.183628.18,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (11 sites)
268,Wed 05:31:37 AM05:31AM,43.355443.36,28.129728.13,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (8 sites)
269,Wed 05:32:08 AM05:32AM,43.414743.41,28.075428.08,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (10 sites)
270,Wed 05:32:38 AM05:32AM,43.470643.47,28.028228.03,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (6 sites)
271,Wed 05:33:09 AM05:33AM,43.531143.53,27.975727.98,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (5 sites)
272,Wed 05:33:41 AM05:33AM,43.590543.59,27.923127.92,↖ 328°,492,566,3200032000.0,,FlightAware MLAT (11 sites)
273,Wed 05:34:11 AM05:34AM,43.647543.65,27.872727.87,↖ 328°,490,564,3200032000.0,,FlightAware MLAT (5 sites)
274,Wed 05:34:41 AM05:34AM,43.705943.71,27.822927.82,↖ 328°,488,562,3200032000.0,,FlightAware MLAT (5 sites)
275,Wed 05:35:12 AM05:35AM,43.764243.76,27.770827.77,↖ 327°,486,559,3200032000.0,,FlightAware MLAT (12 sites)
276,Wed 05:35:43 AM05:35AM,43.822043.82,27.718927.72,↖ 327°,484,557,3200032000.0,,FlightAware MLAT (8 sites)
277,Wed 05:36:17 AM05:36AM,43.887343.89,27.661827.66,↖ 327°,482,555,3200032000.0,,FlightAware MLAT (5 sites)
278,Wed 05:36:47 AM05:36AM,43.941943.94,27.612127.61,↖ 327°,482,555,3200032000.0,,FlightAware MLAT (11 sites)
279,Wed 05:37:20 AM05:37AM,44.005044.01,27.555927.56,↖ 327°,484,557,3200032000.0,,FlightAware MLAT (8 sites)
280,Wed 05:37:50 AM05:37AM,44.060844.06,27.506027.51,↖ 327°,482,555,3200032000.0,,FlightAware MLAT (7 sites)
281,Wed 05:38:22 AM05:38AM,44.120444.12,27.452727.45,↖ 327°,482,555,3200032000.0,,FlightAware MLAT (4 sites)
282,Wed 05:38:52 AM05:38AM,44.176144.18,27.403027.40,↖ 327°,482,555,3200032000.0,,FlightAware MLAT (8 sites)
283,Wed 05:39:25 AM05:39AM,44.238844.24,27.346727.35,↖ 327°,482,555,3200032000.0,,FlightAware MLAT (8 sites)
284,Wed 05:39:57 AM05:39AM,44.298944.30,27.293427.29,↖ 327°,484,557,3200032000.0,,FlightAware MLAT (7 sites)
285,Wed 05:40:27 AM05:40AM,44.355544.36,27.241527.24,↖ 327°,486,559,3200032000.0,,FlightAware MLAT (12 sites)
286,Wed 05:40:59 AM05:40AM,44.415344.42,27.188927.19,↖ 327°,488,562,3200032000.0,,FlightAware MLAT (6 sites)
287,Wed 05:41:30 AM05:41AM,44.474744.47,27.133927.13,↖ 327°,488,562,3200032000.0,,FlightAware MLAT (7 sites)
288,Wed 05:42:00 AM05:42AM,44.530244.53,27.082627.08,↖ 327°,484,557,3200032000.0,,FlightAware MLAT (7 sites)
289,Wed 05:42:32 AM05:42AM,44.590944.59,27.027427.03,↖ 327°,484,557,3200032000.0,,FlightAware MLAT (8 sites)
290,Wed 05:43:02 AM05:43AM,44.647044.65,26.974026.97,↖ 325°,480,552,3200032000.0,,FlightAware MLAT (7 sites)
291,Wed 05:43:36 AM05:43AM,44.706844.71,26.912626.91,↖ 323°,478,550,3200032000.0,,FlightAware MLAT (4 sites)
292,Wed 05:44:08 AM05:44AM,44.762344.76,26.851826.85,↖ 323°,476,548,3200032000.0,,FlightAware MLAT (9 sites)
293,Wed 05:44:38 AM05:44AM,44.815944.82,26.795126.80,↖ 323°,474,545,3200032000.0,,FlightAware MLAT (9 sites)
294,Wed 05:45:08 AM05:45AM,44.868344.87,26.738326.74,↖ 322°,472,543,3200032000.0,,FlightAware MLAT (10 sites)
295,Wed 05:45:39 AM05:45AM,44.920144.92,26.681226.68,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (10 sites)
296,Wed 05:46:10 AM05:46AM,44.974744.97,26.621826.62,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (10 sites)
297,Wed 05:46:43 AM05:46AM,45.032645.03,26.561026.56,↖ 323°,468,539,3200032000.0,,FlightAware MLAT (5 sites)
298,Wed 05:47:16 AM05:47AM,45.086845.09,26.500226.50,↖ 322°,468,539,3200032000.0,,FlightAware MLAT (4 sites)
299,Wed 05:47:47 AM05:47AM,45.141145.14,26.442426.44,↖ 322°,468,539,3200032000.0,,FlightAware MLAT (14 sites)
300,Wed 05:48:18 AM05:48AM,45.193045.19,26.384126.38,↖ 322°,468,539,3200032000.0,,FlightAware MLAT (4 sites)
301,Wed 05:48:49 AM05:48AM,45.246145.25,26.324526.32,↖ 322°,466,536,3200032000.0,,FlightAware MLAT (12 sites)
302,Wed 05:49:23 AM05:49AM,45.303845.30,26.261026.26,↖ 322°,468,539,3200032000.0,,FlightAware MLAT (9 sites)
303,Wed 05:49:53 AM05:49AM,45.356945.36,26.206426.21,↖ 322°,468,539,3200032000.0,,FlightAware MLAT (9 sites)
304,Wed 05:50:23 AM05:50AM,45.408245.41,26.149226.15,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (7 sites)
305,Wed 05:50:53 AM05:50AM,45.460345.46,26.094126.09,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (9 sites)
306,Wed 05:51:26 AM05:51AM,45.517245.52,26.029826.03,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (4 sites)
307,Wed 05:51:57 AM05:51AM,45.568845.57,25.971225.97,↖ 322°,468,539,3200032000.0,,FlightAware MLAT (8 sites)
308,Wed 05:52:28 AM05:52AM,45.621845.62,25.912425.91,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (8 sites)
309,Wed 05:53:02 AM05:53AM,45.680145.68,25.849425.85,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (7 sites)
310,Wed 05:53:33 AM05:53AM,45.733245.73,25.790525.79,↖ 322°,470,541,3200032000.0,,FlightAware MLAT (7 sites)
311,Wed 05:54:05 AM05:54AM,45.788845.79,25.728625.73,↖ 322°,466,536,3200032000.0,,FlightAware MLAT (5 sites)
312,Wed 05:54:37 AM05:54AM,45.843645.84,25.667025.67,↖ 322°,464,534,3200032000.0,,FlightAware MLAT (7 sites)
314,Wed 05:55:08 AM05:55AM,45.898045.90,25.606425.61,↖ 322°,464,534,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
315,Wed 05:55:38 AM05:55AM,45.948745.95,25.549425.55,↖ 322°,463,533,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
316,Wed 05:56:08 AM05:56AM,45.998846.00,25.493125.49,↖ 322°,463,533,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
317,Wed 05:56:39 AM05:56AM,46.048046.05,25.437425.44,↖ 322°,462,532,3200032000.0,,FlightAware ADS-B (LRBG)
318,Wed 05:57:10 AM05:57AM,46.099846.10,25.378725.38,↖ 322°,461,531,3200032000.0,,FlightAware ADS-B (TGM / LRTM)
319,Wed 05:57:40 AM05:57AM,46.151246.15,25.320425.32,↖ 322°,458,527,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
320,Wed 05:58:10 AM05:58AM,46.201246.20,25.263425.26,↖ 322°,457,526,3200032000.0,,FlightAware ADS-B (TGM / LRTM)
321,Wed 05:58:40 AM05:58AM,46.251646.25,25.205925.21,↖ 322°,457,526,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
322,Wed 05:59:10 AM05:59AM,46.300146.30,25.150425.15,↖ 322°,458,527,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
323,Wed 05:59:41 AM05:59AM,46.351746.35,25.091125.09,↖ 322°,458,527,3200032000.0,,FlightAware ADS-B (TGM / LRTM)
324,Wed 06:00:11 AM06:00AM,46.400846.40,25.034625.03,↖ 321°,457,526,3200032000.0,,FlightAware ADS-B (TGM / LRTM)
325,Wed 06:00:42 AM06:00AM,46.450946.45,24.976024.98,↖ 320°,456,525,3200032000.0,,FlightAware ADS-B (SBZ / LRSB)
326,Wed 06:01:00 AM06:01AM,46.479446.48,24.938524.94,↖ 317°,454,522,3200032000.0,,FlightAware ADS-B (BBU / LRBS)
327,Wed 06:01:31 AM06:01AM,46.524746.52,24.871724.87,← 314°,451,519,3200032000.0,,FlightAware ADS-B (LBPL)
328,Wed 06:02:04 AM06:02AM,46.571346.57,24.801124.80,← 314°,450,518,3200032000.0,,FlightAware ADS-B (BAY / LRBM)
329,Wed 06:02:34 AM06:02AM,46.615546.62,24.733424.73,← 314°,451,519,3200032000.0,,FlightAware ADS-B (LBPL)
330,Wed 06:03:04 AM06:03AM,46.658646.66,24.667224.67,← 313°,451,519,3200032000.0,,FlightAware ADS-B (LBMG)
331,Wed 06:03:34 AM06:03AM,46.700946.70,24.602324.60,← 313°,451,519,3200032000.0,,FlightAware ADS-B (LRDV)
332,Wed 06:04:06 AM06:04AM,46.746746.75,24.532024.53,← 314°,452,520,3200032000.0,,FlightAware ADS-B (UKLF)
333,Wed 06:04:36 AM06:04AM,46.788446.79,24.467924.47,← 313°,453,521,3200032000.0,,FlightAware ADS-B (LBMG)
334,Wed 06:05:08 AM06:05AM,46.836746.84,24.393524.39,← 313°,454,522,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
335,Wed 06:05:38 AM06:05AM,46.878946.88,24.328324.33,← 313°,455,524,3200032000.0,,FlightAware ADS-B (TSR / LRTR)
336,Wed 06:06:09 AM06:06AM,46.923746.92,24.259024.26,← 313°,454,522,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
337,Wed 06:06:39 AM06:06AM,46.965646.97,24.193824.19,← 313°,454,522,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
338,Wed 06:07:09 AM06:07AM,47.009847.01,24.125024.12,← 313°,454,522,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
339,Wed 06:07:39 AM06:07AM,47.052847.05,24.057924.06,← 313°,454,522,3200032000.0,,FlightAware ADS-B (GHV / LRBV)
340,Wed 06:08:11 AM06:08AM,47.099447.10,23.984723.98,← 313°,454,522,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
341,Wed 06:08:41 AM06:08AM,47.142047.14,23.917923.92,← 313°,454,522,3200032000.0,,FlightAware ADS-B (TGM / LRTM)
342,Wed 06:09:11 AM06:09AM,47.184547.18,23.851023.85,← 313°,454,522,3200032000.0,,FlightAware ADS-B (TGM / LRTM)
343,Wed 06:09:41 AM06:09AM,47.228147.23,23.782223.78,← 313°,454,522,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
344,Wed 06:10:12 AM06:10AM,47.271747.27,23.713323.71,← 313°,456,525,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
345,Wed 06:10:43 AM06:10AM,47.315947.32,23.643123.64,← 313°,456,525,3200032000.0,,FlightAware ADS-B (BAY / LRBM)
346,Wed 06:11:13 AM06:11AM,47.359847.36,23.573423.57,← 313°,456,525,3200032000.0,,FlightAware ADS-B (BAY / LRBM)
347,Wed 06:11:44 AM06:11AM,47.403047.40,23.504423.50,← 313°,458,527,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
348,Wed 06:12:14 AM06:12AM,47.446847.45,23.434423.43,← 313°,459,528,3200032000.0,,FlightAware ADS-B (UKLF)
349,Wed 06:12:44 AM06:12AM,47.489847.49,23.365223.37,← 313°,460,529,3200032000.0,,FlightAware ADS-B (LZRY)
350,Wed 06:13:14 AM06:13AM,47.531747.53,23.298023.30,← 313°,460,529,3200032000.0,,FlightAware ADS-B (RZE / EPRZ)
351,Wed 06:13:44 AM06:13AM,47.575047.58,23.228323.23,← 312°,461,531,3200032000.0,,FlightAware ADS-B (RZE / EPRZ)
352,Wed 06:14:14 AM06:14AM,47.618447.62,23.158123.16,← 312°,461,531,3200032000.0,,FlightAware ADS-B (RZE / EPRZ)
353,Wed 06:14:44 AM06:14AM,47.662147.66,23.087323.09,← 312°,461,531,3200032000.0,,FlightAware ADS-B (UDJ / UKLU)
354,Wed 06:15:14 AM06:15AM,47.705547.71,23.016723.02,← 312°,461,531,3200032000.0,,FlightAware ADS-B (UDJ / UKLU)
355,Wed 06:15:44 AM06:15AM,47.748647.75,22.946522.95,← 312°,461,531,3200032000.0,,FlightAware ADS-B (LZRY)
356,Wed 06:16:14 AM06:16AM,47.790747.79,22.877722.88,← 312°,462,532,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
357,Wed 06:16:45 AM06:16AM,47.835247.84,22.805022.80,← 312°,462,532,3200032000.0,,FlightAware ADS-B (UDJ / UKLU)
358,Wed 06:17:15 AM06:17AM,47.878247.88,22.734222.73,← 312°,462,532,3200032000.0,,FlightAware ADS-B (UDJ / UKLU)
359,Wed 06:17:45 AM06:17AM,47.920747.92,22.664422.66,← 312°,462,532,3200032000.0,,FlightAware ADS-B (CLJ / LRCL)
360,Wed 06:18:15 AM06:18AM,47.963947.96,22.593122.59,← 312°,463,533,3200032000.0,,FlightAware ADS-B (UKLF)
361,Wed 06:18:45 AM06:18AM,48.006448.01,22.522722.52,← 312°,464,534,3200032000.0,,FlightAware ADS-B (UKLF)
362,Wed 06:19:15 AM06:19AM,48.050448.05,22.449622.45,← 312°,462,532,3200032000.0,,FlightAware ADS-B (UDJ / UKLU)
363,Wed 06:19:45 AM06:19AM,48.093048.09,22.378722.38,← 312°,462,532,3200032000.0,,FlightAware ADS-B (UKLF)
364,Wed 06:20:15 AM06:20AM,48.135848.14,22.307222.31,← 312°,462,532,3200032000.0,,FlightAware ADS-B (UKLF)
365,Wed 06:20:45 AM06:20AM,48.178148.18,22.236522.24,← 312°,462,532,3200032000.0,,FlightAware ADS-B (UKLF)
366,Wed 06:21:15 AM06:21AM,48.221148.22,22.164322.16,← 312°,463,533,3200032000.0,,FlightAware ADS-B (UKLF)
367,Wed 06:21:45 AM06:21AM,48.264048.26,22.092322.09,← 312°,463,533,3200032000.0,,FlightAware ADS-B (UKLF)
368,Wed 06:22:15 AM06:22AM,48.305348.31,22.022722.02,← 312°,463,533,3200032000.0,,FlightAware ADS-B (VIE / LOWW)
369,Wed 06:22:35 AM06:22AM,48.335548.34,21.972421.97,← 314°,463,533,3200032000.0,,FlightAware ADS-B (BAY / LRBM)
370,Wed 06:22:53 AM06:22AM,48.364348.36,21.936721.94,↖ 324°,467,537,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
371,Wed 06:23:13 AM06:23AM,48.402348.40,21.905821.91,↖ 337°,475,547,3200032000.0,,FlightAware ADS-B (KSC / LZKZ)
372,Wed 06:23:43 AM06:23AM,48.464048.46,21.872221.87,↑ 340°,476,548,3200032000.0,,FlightAware ADS-B (LHNY)
373,Wed 06:24:14 AM06:24AM,48.527848.53,21.838121.84,↑ 341°,476,548,3200032000.0,,FlightAware ADS-B (EPBA)
374,Wed 06:24:44 AM06:24AM,48.593548.59,21.803221.80,↑ 341°,476,548,3200032000.0,,FlightAware ADS-B (EPML)
375,Wed 06:25:14 AM06:25AM,48.656148.66,21.769821.77,↑ 341°,475,547,3200032000.0,,FlightAware ADS-B (EPML)
376,Wed 06:25:45 AM06:25AM,48.718648.72,21.735721.74,↑ 339°,474,545,3200032000.0,,FlightAware ADS-B (EPML)
377,Wed 06:26:21 AM06:26AM,48.790948.79,21.691121.69,↖ 337°,472,543,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
378,Wed 06:26:51 AM06:26AM,48.850048.85,21.652221.65,↖ 336°,471,542,3200032000.0,,FlightAware ADS-B (LUZ / EPLB)
379,Wed 06:27:21 AM06:27AM,48.908848.91,21.613121.61,↖ 336°,470,541,3200032000.0,,FlightAware ADS-B (UKLF)
380,Wed 06:27:53 AM06:27AM,48.972948.97,21.570221.57,↖ 336°,470,541,3200032000.0,,FlightAware ADS-B (EPSI)
381,Wed 06:28:23 AM06:28AM,49.032949.03,21.530021.53,↖ 336°,470,541,3200032000.0,,FlightAware ADS-B (EPSI)
382,Wed 06:28:54 AM06:28AM,49.092749.09,21.490021.49,↖ 336°,470,541,3200032000.0,,FlightAware ADS-B (LKKM)
383,Wed 06:29:24 AM06:29AM,49.153749.15,21.448921.45,↖ 336°,470,541,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
384,Wed 06:29:54 AM06:29AM,49.212349.21,21.409321.41,↖ 336°,471,542,3200032000.0,,FlightAware ADS-B (EPSI)
385,Wed 06:30:24 AM06:30AM,49.272549.27,21.368621.37,↖ 336°,471,542,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
386,Wed 06:30:54 AM06:30AM,49.331149.33,21.330221.33,↖ 338°,471,542,3200032000.0,,FlightAware ADS-B (VIE / LOWW)
387,Wed 06:31:24 AM06:31AM,49.393349.39,21.292421.29,↑ 339°,473,544,3200032000.0,,FlightAware ADS-B (ZBE / LKZA)
388,Wed 06:31:55 AM06:31AM,49.458249.46,21.254621.25,↑ 340°,473,544,3200032000.0,,FlightAware ADS-B (EPKN)
389,Wed 06:32:27 AM06:32AM,49.524449.52,21.216821.22,↑ 340°,474,545,3200032000.0,,FlightAware ADS-B (EPML)
390,Wed 06:32:58 AM06:32AM,49.586149.59,21.181821.18,↑ 340°,474,545,3200032000.0,,FlightAware ADS-B (LKPJ)
391,Wed 06:33:30 AM06:33AM,49.651149.65,21.145021.14,↑ 340°,475,547,3200032000.0,,FlightAware ADS-B (EPKW)
392,Wed 06:34:01 AM06:34AM,49.714449.71,21.108821.11,↑ 340°,475,547,3200032000.0,,FlightAware ADS-B (EPKR)
393,Wed 06:34:31 AM06:34AM,49.778249.78,21.072121.07,↑ 340°,475,547,3200032000.0,,FlightAware ADS-B (EPKR)
394,Wed 06:35:01 AM06:35AM,49.837249.84,21.038121.04,↑ 339°,475,547,3200032000.0,,FlightAware ADS-B (EPNT)
395,Wed 06:35:31 AM06:35AM,49.899449.90,21.002121.00,↑ 340°,476,548,3200032000.0,,FlightAware ADS-B (EPKR)
396,Wed 06:36:01 AM06:36AM,49.961049.96,20.966320.97,↑ 340°,476,548,3200032000.0,,FlightAware ADS-B (EPTM)
397,Wed 06:36:31 AM06:36AM,50.023250.02,20.930120.93,↑ 340°,477,549,3200032000.0,,FlightAware ADS-B (EPNT)
398,Wed 06:37:01 AM06:37AM,50.085550.09,20.893720.89,↑ 339°,478,550,3200032000.0,,FlightAware ADS-B (ZBE / LKZA)
399,Wed 06:37:32 AM06:37AM,50.148850.15,20.856420.86,↑ 339°,479,551,3200032000.0,,FlightAware ADS-B (EPKR)
400,Wed 06:38:02 AM06:38AM,50.211350.21,20.819720.82,↑ 339°,480,552,3200032000.0,,FlightAware ADS-B (EPKR)
401,Wed 06:38:32 AM06:38AM,50.274750.27,20.782220.78,↑ 339°,480,552,3200032000.0,,FlightAware ADS-B (ZBE / LKZA)
402,Wed 06:39:02 AM06:39AM,50.336350.34,20.745920.75,↑ 339°,480,552,3200032000.0,,FlightAware ADS-B (EPKR)
403,Wed 06:39:32 AM06:39AM,50.400150.40,20.708120.71,↑ 339°,481,554,3200032000.0,,FlightAware ADS-B (EPLK)
404,Wed 06:40:02 AM06:40AM,50.461150.46,20.671820.67,↑ 339°,481,554,3200032000.0,,FlightAware ADS-B (EPTM)
405,Wed 06:40:32 AM06:40AM,50.523850.52,20.634420.63,↑ 339°,481,554,3200032000.0,,FlightAware ADS-B (EPKR)
406,Wed 06:41:02 AM06:41AM,50.585250.59,20.597820.60,↑ 339°,483,556,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
407,Wed 06:41:32 AM06:41AM,50.647550.65,20.560520.56,↑ 339°,483,556,3200032000.0,,FlightAware ADS-B (RDO / EPRA)
408,Wed 06:42:02 AM06:42AM,50.711950.71,20.521620.52,↑ 339°,484,557,3200032000.0,,FlightAware ADS-B (RDO / EPRA)
409,Wed 06:42:32 AM06:42AM,50.774750.77,20.483720.48,↑ 339°,484,557,3200032000.0,,FlightAware ADS-B (RDO / EPRA)
410,Wed 06:43:02 AM06:43AM,50.834050.83,20.447920.45,↑ 339°,484,557,3200032000.0,,FlightAware ADS-B (EPRS)
411,Wed 06:43:32 AM06:43AM,50.897550.90,20.409520.41,↑ 339°,485,558,3200032000.0,,FlightAware ADS-B (WAW / EPWA)
412,Wed 06:44:03 AM06:44AM,50.963150.96,20.369520.37,↑ 339°,486,559,3200032000.0,,FlightAware ADS-B (WAW / EPWA)
413,Wed 06:44:33 AM06:44AM,51.026251.03,20.331020.33,↑ 339°,487,560,3200032000.0,,FlightAware ADS-B (EPRS)
414,Wed 06:45:03 AM06:45AM,51.090151.09,20.291920.29,↑ 339°,488,562,3200032000.0,,FlightAware ADS-B (EPRS)
415,Wed 06:45:33 AM06:45AM,51.152951.15,20.253320.25,↑ 339°,488,562,3200032000.0,,FlightAware ADS-B (WAW / EPWA)
416,Wed 06:46:03 AM06:46AM,51.216551.22,20.214220.21,↑ 339°,489,563,3200032000.0,,FlightAware ADS-B (WAW / EPWA)
417,Wed 06:46:33 AM06:46AM,51.280451.28,20.174820.17,↑ 339°,490,564,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
418,Wed 06:47:03 AM06:47AM,51.344751.34,20.134920.13,↑ 339°,490,564,3200032000.0,,FlightAware ADS-B (KRK / EPKK)
419,Wed 06:47:33 AM06:47AM,51.405851.41,20.097020.10,↑ 339°,491,565,3200032000.0,,FlightAware ADS-B (EPWS)
420,Wed 06:48:03 AM06:48AM,51.469751.47,20.057120.06,↑ 339°,493,567,3200032000.0,,FlightAware ADS-B (EPRS)
421,Wed 06:48:33 AM06:48AM,51.533651.53,20.017120.02,↑ 339°,494,568,3200032000.0,,FlightAware ADS-B (EPWS)
